ArrayExpress ID	GEO ID	Experiment Type	Evaluation State	Study Type	Curation State	Variables
E-GEOD-17709	GSE17709	transcription profiling by array	Yes	Differential	Done	genotype
E-GEOD-17654	GSE17654	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-17324	GSE17324	transcription profiling by array	Yes	Baseline	Done	anatomical structure|sex
E-GEOD-12415	GSE12415	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-2029	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MTAB-120	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-12454	GSE12454	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-2051	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-17344	GSE17344	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13579	GSE13579	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-2243	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-16381	GSE16381	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13753	GSE13753	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13155	GSE13155	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-16629	GSE16629	transcription profiling by array	Yes	Differential	Done	age|genotype
E-GEOD-12687	GSE12687	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MTAB-86	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-15843	GSE15843	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-16114	GSE16114	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13836	GSE13836	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13835	GSE13835	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-16023	GSE16023	RNA-Seq	Yes	Not Curated	Not Done	Not Curated
E-GEOD-11426	GSE11426	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-5645	GSE5645	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-15354	GSE15354	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-15748	GSE15748	transcription profiling by array	Yes	Baseline	Done	anatomical structure|mouse strain
E-MEXP-1623	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-14059	GSE14059	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-15640	GSE15640	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-1733	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-11448	GSE11448	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-15349	GSE15349	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-6196	GSE6196	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-15185	GSE15185	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-1709	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MTAB-92	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-12867	GSE12867	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-15150	GSE15150	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13333	GSE13333	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-12412	GSE12412	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-11995	GSE11995	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-11994	GSE11994	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-12954	GSE12954	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-10589	GSE10589	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-10587	GSE10587	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-14854	GSE14854	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-10744	GSE10744	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-9892	GSE9892	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13730	GSE13730	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-1718	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-14691	GSE14691	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-10117	GSE10117	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-14719	GSE14719	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-5878	GSE5878	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-5876	GSE5876	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-14514	GSE14514	transcription profiling by array	Yes	Baseline	Done	age|developmental stage
E-GEOD-13799	GSE13799	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-14470	GSE14470	RNA-Seq	Yes	Not Curated	Not Done	Not Curated
E-GEOD-10067	GSE10067	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-8454	GSE8454	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13227	GSE13227	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13225	GSE13225	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13224	GSE13224	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13223	GSE13223	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13222	GSE13222	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13120	GSE13120	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13033	GSE13033	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13765	GSE13765	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-11867	GSE11867	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-12248	GSE12248	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13452	GSE13452	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-1853	None	transcription profiling by array	Yes	Baseline	Done	age|developmental stage
E-GEOD-9969	GSE9969	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13984	GSE13984	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-10493	GSE10493	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-1263	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-9809	GSE9809	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-12024	GSE12024	transcription profiling by array	Yes	Baseline	Done	age
E-GEOD-12950	GSE12950	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13421	GSE13421	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
